age,months_with_company,avg_monthly_spend,num_service_tickets,contract_renewals,num_products,discount_rate,late_payments,region,plan_type,is_family_plan,has_auto_pay,payment_method,churn
61,119,62.64,2.0,5,5,0.213,0,North,Standard,Yes,Yes,Card,0
46,67,34.13,2.0,2,3,0.088,1,South,Basic,Yes,Yes,Card,0
62,74,43.74,1.0,3,5,0.098,1,East,Basic,Yes,Yes,Card,0
27,36,64.7,3.0,1,5,0.393,0,West,Standard,Yes,No,UPI,0
73,26,84.31,0.0,5,5,0.468,1,East,Standard,No,Yes,Card,0
49,21,92.32,1.0,5,2,0.189,1,East,Basic,No,,Card,0
76,27,75.59,3.0,1,4,0.039,0,South,Basic,No,Yes,UPI,0
27,24,65.75,2.0,2,2,0.05,1,East,Basic,No,No,Card,0
48,89,74.98,0.0,1,5,0.327,0,East,Basic,Yes,Yes,Card,0
61,7,46.66,0.0,3,5,0.185,0,North,Standard,No,No,NetBanking,0
48,75,56.94,,1,4,0.213,0,West,,No,No,NetBanking,0
45,113,43.52,0.0,4,5,0.169,0,South,Standard,No,Yes,NetBanking,0
28,92,35.03,1.0,5,3,0.233,0,East,Premium,Yes,,UPI,0
41,48,66.67,2.0,5,1,0.322,0,East,Standard,No,Yes,Card,0
32,8,63.71,0.0,1,5,0.271,0,West,Basic,Yes,Yes,Card,0
36,100,73.75,1.0,0,3,0.082,0,North,Standard,Yes,Yes,UPI,0
60,1,70.92,0.0,4,1,0.246,0,West,Standard,Yes,No,NetBanking,0
57,82,64.85,2.0,0,1,0.23,0,North,Standard,No,Yes,Card,0
55,80,71.13,1.0,2,4,0.273,1,North,Standard,Yes,Yes,Card,0
40,23,59.15,2.0,5,5,0.055,0,West,Standard,Yes,Yes,UPI,0
77,89,68.26,1.0,2,4,0.077,0,South,Basic,No,Yes,UPI,0
23,21,45.48,2.0,0,3,0.265,0,East,Basic,Yes,Yes,Card,0
39,27,67.39,1.0,5,2,0.138,0,South,Basic,Yes,Yes,NetBanking,0
25,97,73.37,1.0,4,3,0.315,0,West,Basic,No,,UPI,1
39,117,46.61,0.0,1,2,0.186,2,West,Premium,No,Yes,NetBanking,0
77,32,61.04,2.0,3,2,0.11,0,South,Basic,Yes,Yes,Card,0
40,110,47.53,1.0,3,1,0.328,0,West,Basic,Yes,No,Card,0
74,109,49.47,1.0,3,3,0.197,1,North,Standard,No,,Card,0
48,92,37.5,0.0,5,2,0.079,1,East,Premium,No,No,Card,0
61,17,85.32,3.0,4,1,0.404,1,West,Standard,No,Yes,Card,0
46,36,,3.0,1,2,0.216,0,East,Basic,Yes,Yes,Card,0
34,81,70.75,2.0,5,4,0.458,0,East,Basic,No,Yes,Card,0
65,119,99.44,2.0,5,3,0.097,0,,Standard,No,No,UPI,0
78,97,56.22,6.0,0,3,0.438,0,East,Standard,No,No,Card,0
34,51,120.64,1.0,1,3,0.408,0,West,Basic,No,Yes,Card,0
66,28,55.45,0.0,3,3,0.052,1,North,Premium,No,Yes,UPI,0
34,115,65.1,3.0,5,3,0.266,1,South,Standard,No,Yes,Card,0
62,33,52.04,4.0,4,5,0.327,1,,Standard,No,Yes,Card,0
66,41,67.45,1.0,3,4,0.248,0,South,Basic,No,Yes,Cash,0
45,115,76.71,0.0,1,1,0.195,0,South,Premium,Yes,No,UPI,0
63,67,57.72,1.0,0,5,0.472,1,West,Standard,Yes,Yes,NetBanking,0
34,32,95.53,0.0,5,1,0.35,0,East,Basic,No,Yes,Card,0
22,1,64.78,1.0,3,1,0.483,1,North,Basic,No,No,UPI,0
23,52,65.41,1.0,2,3,0.423,0,North,Basic,Yes,,Card,0
45,118,41.82,1.0,5,2,0.409,0,South,,Yes,No,Card,0
73,52,,0.0,0,4,0.363,3,South,Basic,No,Yes,NetBanking,0
25,84,57.32,0.0,1,4,0.323,0,,Basic,Yes,No,NetBanking,0
46,31,47.84,1.0,5,1,0.443,1,West,Standard,No,Yes,UPI,0
61,93,44.47,1.0,1,3,0.307,0,South,Standard,No,Yes,Card,0
30,93,113.44,1.0,5,4,0.038,1,West,Standard,No,,UPI,0
62,73,54.73,2.0,5,4,0.291,0,West,Standard,No,No,UPI,0
36,92,30.86,1.0,0,3,0.051,1,South,Basic,No,Yes,UPI,0
68,69,46.04,1.0,2,4,0.475,1,West,Basic,No,Yes,UPI,0
53,46,58.97,1.0,4,3,0.323,0,North,Standard,Yes,Yes,UPI,0
51,88,70.93,3.0,2,2,0.278,1,East,Standard,No,Yes,Card,0
28,100,71.1,2.0,1,3,0.099,1,West,Basic,No,No,UPI,0
46,101,73.53,3.0,0,4,0.258,0,West,Premium,Yes,No,Card,0
71,26,47.1,0.0,0,1,0.171,0,North,Standard,Yes,No,UPI,0
19,81,66.81,2.0,1,4,0.338,0,South,Premium,No,Yes,UPI,0
65,1,42.48,0.0,1,2,0.302,2,South,,No,No,Card,0
48,69,47.61,1.0,1,1,0.25,1,West,Basic,No,Yes,Card,0
62,68,,1.0,5,4,0.126,1,,Premium,Yes,Yes,UPI,0
59,44,36.23,0.0,3,2,0.263,1,East,,Yes,Yes,UPI,0
44,119,81.28,0.0,0,3,0.231,0,South,Standard,No,No,Card,0
37,106,73.77,0.0,0,4,0.426,1,South,Premium,Yes,No,Card,0
56,5,79.53,2.0,0,3,0.447,1,South,Premium,No,Yes,Card,0
26,25,60.79,3.0,1,4,0.38,0,South,Standard,No,No,Card,0
54,25,,2.0,4,5,0.16,1,East,Basic,No,No,UPI,0
23,107,24.77,2.0,0,4,0.019,1,South,Standard,Yes,No,Card,0
58,62,77.26,1.0,2,1,0.463,0,South,,No,No,Card,1
56,87,,1.0,2,2,0.496,0,East,Standard,No,Yes,Card,0
23,97,72.54,3.0,0,3,0.064,3,South,Standard,No,Yes,Card,0
64,92,67.6,2.0,0,3,0.343,1,,Standard,No,No,Card,0
43,11,40.26,1.0,1,2,0.213,1,East,Premium,No,No,Cash,0
66,17,30.04,1.0,0,1,0.074,0,,Standard,Yes,Yes,UPI,1
20,48,45.76,,4,1,0.499,0,North,Basic,No,No,UPI,0
29,41,71.3,3.0,5,1,0.467,1,North,Standard,Yes,No,Card,0
48,89,73.8,1.0,3,5,0.491,0,West,Basic,No,Yes,NetBanking,0
29,19,32.64,3.0,4,2,0.072,2,West,Basic,No,Yes,UPI,0
38,45,40.38,1.0,4,5,0.246,0,North,Standard,No,Yes,Card,0
58,29,45.54,0.0,5,2,0.448,0,South,Premium,No,Yes,UPI,0
26,23,52.85,3.0,0,2,0.338,0,South,Basic,No,Yes,Card,0
60,21,32.76,1.0,5,3,0.217,0,East,Basic,Yes,Yes,NetBanking,0
24,24,31.56,2.0,2,5,0.258,0,North,Standard,Yes,No,Card,0
28,68,43.56,2.0,3,3,0.019,0,West,Standard,Yes,Yes,NetBanking,0
54,49,61.73,2.0,4,1,0.306,0,North,Basic,No,No,Cash,0
67,52,36.39,2.0,2,2,0.43,0,West,Basic,Yes,Yes,UPI,0
28,58,57.68,0.0,1,5,0.001,0,North,Standard,No,No,NetBanking,0
36,89,81.17,2.0,0,1,0.08,0,South,Premium,Yes,Yes,Card,0
75,103,33.96,4.0,1,5,0.259,0,South,Basic,No,No,UPI,0
79,63,55.87,1.0,0,5,0.28,0,South,Standard,No,Yes,Card,0
54,77,80.5,1.0,2,2,0.172,0,West,Standard,No,Yes,Card,0
45,88,51.63,0.0,4,3,0.014,1,South,Basic,No,Yes,UPI,0
39,83,48.53,1.0,2,3,0.372,0,North,Standard,No,Yes,UPI,0
55,16,83.27,0.0,3,4,0.121,1,West,Basic,No,No,UPI,0
54,117,53.88,1.0,1,4,0.322,1,North,Basic,Yes,Yes,Card,0
36,20,82.09,3.0,3,1,0.28,0,North,,No,No,Card,0
19,50,68.58,1.0,5,2,0.215,0,North,Basic,No,Yes,Card,0
27,78,53.14,1.0,1,5,0.295,0,,Standard,Yes,Yes,UPI,0
77,48,69.59,2.0,2,2,0.348,0,West,Standard,Yes,No,Card,0
43,29,66.41,1.0,5,2,0.286,1,North,Standard,No,Yes,Card,0
47,110,80.42,0.0,3,4,0.279,0,East,Standard,No,,Cash,0
46,9,49.03,0.0,2,1,0.218,1,South,Basic,No,Yes,Cash,0
66,30,60.82,0.0,0,1,0.215,0,North,Premium,Yes,Yes,UPI,0
22,119,58.77,0.0,5,4,0.245,1,East,Premium,No,No,Card,0
23,87,74.08,2.0,3,1,0.226,0,East,Basic,Yes,,UPI,0
35,11,39.5,,0,5,0.22,0,East,Standard,Yes,No,UPI,0
48,90,80.34,1.0,3,2,0.105,0,North,Standard,No,Yes,Card,0
59,116,69.33,2.0,5,1,0.362,1,,Standard,Yes,No,Cash,0
48,12,33.66,3.0,5,4,0.066,1,East,Basic,No,Yes,Card,0
45,50,84.17,0.0,1,1,0.454,1,East,Basic,Yes,Yes,Card,0
76,56,104.68,3.0,2,2,0.312,1,South,,Yes,,UPI,0
27,16,80.04,3.0,5,2,0.024,2,North,Standard,Yes,No,NetBanking,0
53,24,88.54,1.0,4,3,0.329,0,West,Standard,Yes,,UPI,0
51,21,61.71,,3,3,0.181,0,North,Premium,No,No,Card,0
47,23,26.77,1.0,1,1,0.465,0,,Basic,No,No,UPI,0
68,49,23.12,1.0,4,2,0.468,0,East,Premium,Yes,No,NetBanking,0
34,56,65.1,2.0,3,1,0.423,0,North,Standard,No,No,UPI,0
77,29,48.16,1.0,3,1,0.284,2,South,Standard,No,Yes,Card,0
38,35,41.71,2.0,5,4,0.46,0,East,Basic,Yes,Yes,UPI,0
51,23,58.75,3.0,2,3,0.325,0,East,Basic,Yes,No,NetBanking,0
50,95,72.31,2.0,3,1,0.438,2,West,Basic,Yes,Yes,Card,0
70,26,30.94,3.0,0,2,0.08,0,East,,No,No,UPI,0
45,109,51.02,1.0,4,4,0.452,0,North,,No,Yes,UPI,0
35,65,90.2,2.0,3,2,0.331,0,South,Basic,Yes,Yes,UPI,0
19,96,38.49,3.0,5,3,0.152,2,East,Standard,Yes,No,Card,0
40,76,77.4,3.0,1,4,0.499,0,South,,Yes,Yes,Card,0
69,32,50.31,1.0,5,4,0.343,0,West,Basic,No,No,UPI,0
18,72,70.92,0.0,3,4,0.454,0,North,Basic,Yes,No,Card,0
73,33,81.95,1.0,1,2,0.003,1,North,Standard,No,No,Card,0
51,15,74.83,,0,3,0.276,0,North,Standard,No,No,Card,0
26,31,,0.0,1,5,0.356,2,West,Standard,No,Yes,Card,0
36,33,36.97,4.0,1,5,0.007,0,East,Premium,Yes,,UPI,0
52,17,82.27,2.0,3,1,0.381,3,East,Basic,No,No,Cash,1
37,3,42.95,3.0,5,5,0.326,0,South,Standard,No,Yes,Card,0
24,113,65.19,1.0,5,5,0.137,0,West,Premium,No,Yes,Card,0
59,62,65.16,2.0,4,5,0.344,1,West,Standard,No,Yes,Card,0
59,48,69.7,0.0,2,2,0.065,0,South,Standard,No,No,UPI,0
25,111,66.74,6.0,3,3,0.412,2,West,Premium,Yes,No,UPI,1
35,27,43.12,1.0,1,1,0.433,0,West,Basic,No,,NetBanking,0
33,48,33.0,0.0,1,1,0.243,0,South,Basic,No,Yes,UPI,0
58,101,77.45,1.0,3,3,0.254,0,South,Basic,No,No,Card,0
63,76,63.72,4.0,4,2,0.201,1,East,,No,Yes,Card,0
63,48,82.99,0.0,0,2,0.173,3,South,Premium,No,Yes,UPI,0
76,31,59.11,1.0,0,2,0.436,0,West,Basic,No,Yes,Card,1
65,5,31.9,1.0,1,3,0.152,0,East,Standard,Yes,No,Card,0
37,11,79.32,0.0,1,1,0.201,1,North,Standard,Yes,Yes,Card,0
24,20,52.59,0.0,0,5,0.15,1,South,Basic,No,Yes,UPI,0
56,94,66.84,1.0,0,4,0.328,0,East,Standard,No,Yes,UPI,0
74,77,47.05,1.0,0,4,0.407,0,North,Basic,No,Yes,NetBanking,0
78,52,,1.0,2,5,0.082,1,South,Premium,No,No,Card,0
32,94,42.47,0.0,4,4,0.127,0,North,Standard,No,No,NetBanking,0
32,20,53.25,3.0,0,2,0.052,0,West,Basic,Yes,No,UPI,0
20,26,62.15,1.0,1,5,0.08,1,North,Standard,No,Yes,UPI,0
26,47,38.16,1.0,5,3,0.203,0,North,Standard,No,Yes,UPI,0
52,110,66.61,0.0,1,3,0.388,0,,Basic,Yes,,NetBanking,0
51,74,92.24,1.0,5,3,0.271,0,North,Basic,Yes,Yes,UPI,0
40,102,50.19,,3,1,0.027,0,East,Standard,Yes,No,Card,0
37,30,,0.0,4,5,0.313,0,South,Standard,Yes,Yes,Card,0
69,101,5.01,2.0,1,5,0.398,0,West,Standard,No,No,NetBanking,0
46,9,59.22,3.0,1,4,0.197,2,North,Basic,No,Yes,UPI,0
68,28,53.74,3.0,2,2,0.123,1,North,Standard,No,Yes,NetBanking,1
77,63,43.63,0.0,0,5,0.382,0,North,Standard,No,,NetBanking,0
37,7,81.63,0.0,1,1,0.012,2,West,Basic,No,Yes,Card,0
30,103,53.48,0.0,5,2,0.408,0,West,Basic,No,Yes,NetBanking,0
77,104,56.45,0.0,0,1,0.402,0,South,Basic,Yes,Yes,Card,0
57,65,52.46,1.0,3,2,0.444,0,North,Standard,Yes,No,Card,0
36,37,21.66,2.0,4,2,0.045,0,North,Basic,No,,UPI,0
56,12,37.36,2.0,0,4,0.054,0,North,Premium,No,Yes,NetBanking,0
49,74,79.22,5.0,0,2,0.436,1,North,Basic,No,Yes,UPI,0
74,64,17.8,3.0,3,5,0.238,0,West,Standard,No,Yes,Card,0
33,91,44.67,3.0,1,2,0.196,1,North,Basic,Yes,No,UPI,0
79,72,52.01,1.0,5,3,0.287,0,West,Standard,Yes,Yes,UPI,0
76,16,94.87,3.0,1,3,0.029,0,North,Standard,No,No,UPI,1
29,15,75.37,1.0,0,5,0.322,0,West,Standard,No,No,Card,0
28,93,48.86,2.0,1,4,0.473,0,South,Premium,No,Yes,Card,0
51,19,86.09,2.0,1,5,0.338,0,North,Basic,No,Yes,UPI,0
20,112,,3.0,0,5,0.232,1,West,Basic,No,Yes,Card,0
36,13,80.18,2.0,3,1,0.48,2,South,Basic,No,Yes,NetBanking,1
